Suburb	Council_Area
Abbeyard 	Alpine S  
Abbotsford 	Yarra C  
Aberfeldie 	Moonee Valley C  
Aberfeldy 	Baw Baw S  
Acheron 	Murrindindi S  
Ada 	Baw Baw S  
Adams Estate 	Bass Coast S  
Addington 	Ballarat C  
Adelaide Lead 	Central Goldfields S  
Agnes 	South Gippsland S  
Ailsa 	Yarriambiack S  
Aire Valley 	Colac Otway S  
Aireys Inlet 	Surf Coast S  
Airly 	Wellington S  
Airport West 	Moonee Valley C  
Albacutya 	Hindmarsh S  
Albacutya 	Yarriambiack S  
Albanvale 	Brimbank C  
Albert Park 	Port Phillip C  
Alberton 	Wellington S  
Alberton West 	Wellington S  
Albion 	Brimbank C  
Alexandra 	Murrindindi S  
Alfredton 	Ballarat C  
Allambee 	Baw Baw S  
Allambee Reserve 	Baw Baw S  
Allambee Reserve 	Sth Gippsland S  
Allambee South 	Baw Baw S  
Allambee South 	South Gippsland S  
Allans Flat 	Indigo S  
Allansford 	Moyne S  
Allansford 	Warrnambool C  
Allendale 	Hepburn S  
Allestree 	Glenelg S  
Alma 	Central Goldfields S  
Almonds 	Moira S  
Almurta 	Bass Coast S  
Alphington 	Darebin C  
Alphington 	Yarra C  
Altona 	Hobsons Bay C  
Altona East 	Hobsons Bay C  
Altona Meadows 	Hobsons Bay C  
Altona North 	Hobsons Bay C  
Alvie 	Colac Otway S  
Alvie 	Corangamite S  
Amherst 	Central Goldfields S  
Amor 	Baw Baw S  
Amphitheatre 	Pyrenees S  
Anakie 	Golden Plains S  
Anakie 	Greater Geelong C  
Ancona 	Mansfield S  
Anderson 	Bass Coast S  
Angip 	Yarriambiack S  
Anglers Rest 	East Gippsland S  
Anglesea 	Surf Coast S  
Annuello 	Swan Hill RC  
Antwerp 	Hindmarsh S  
Apollo Bay 	Colac Otway S  
Appin 	Gannawarra S  
Appin Park 	Gannawarra S  
Appin South 	Gannawarra S  
Appin South 	Loddon S  
Apsley 	West Wimmera S  
Arapiles 	Horsham RC  
Ararat 	Ararat RC  
Arawata 	South Gippsland S  
Arbuckle 	Wellington S  
Arcadia 	Greater Shepparton C  
Arcadia South 	Strathbogie S  
Archdale 	Central Goldfields S  
Archdale 	Northern Grampians S  
Archdale Junction	Central GoldfieldsS  
Archdale Junction 	Nthn Grampians S  
Archerton 	Benalla RC  
Archerton 	Wangaratta RC  
Archies Creek 	Bass Coast S  
Ardeer 	Brimbank C  
Ardmona 	Greater Shepparton C  
Areegra 	Yarriambiack S  
Argyle 	Greater Bendigo C  
Armadale 	Stonnington C  
Armstrong 	Ararat RC  
Arnold 	Loddon S  
Arnold West 	Loddon S  
Arthurs Creek 	Nillumbik S  
Arthurs Seat 	Mornington Pen S  
Ascot 	Ballarat C  
Ascot 	Greater Bendigo C  
Ascot Vale 	Moonee Valley C  
Ashbourne 	Macedon Ranges S  
Ashburton 	Boroondara C  
Ashwood 	Monash C  
Aspendale 	Kingston C  
Aspendale Gardens 	Kingston C  
Athlone 	Baw Baw S  
Attwood 	Hume C  
Aubrey 	Yarriambiack S  
Auburn 	Boroondara C  
Auburn South 	Boroondara C  
Auchmore 	Loddon S  
Avalon 	Greater Geelong C  
Avenel 	Mitchell S  
Avenel 	Strathbogie S  
Avoca 	Pyrenees S  
Avon Plains 	Northern Grampians S  
Avondale Heights 	Moonee Valley C  
Avonmore 	Greater Bendigo C  
Avonsleigh 	Cardinia S  
Axe Creek 	Greater Bendigo C  
Axedale 	Greater Bendigo C  
Ayrford 	Corangamite S  
Ayrford 	Moyne S  
Bacchus Marsh 	Moorabool S  
Baddaginnie 	Benalla RC  
Baddaginnie 	Strathbogie S  
Badger Creek 	Yarra Ranges S  
Bael Bael 	Gannawarra S  
Bagshot 	Greater Bendigo C  
Bagshot North 	Greater Bendigo C  
Bahgallah 	Glenelg S  
Bailieston 	Strathbogie S  
Bairnsdale 	East Gippsland S  
Bairnsdale East 	East Gippsland S  
Bakery Hill 	Ballarat C  
Balaclava 	Port Phillip C  
Bald Hills 	Ballarat C  
Bald Hills 	Hepburn S  
Balintore 	Colac Otway S  
Ballan 	Moorabool S  
Ballangeich 	Moyne S  
Ballapur 	Buloke S  
Ballarat 	Ballarat C  
Ballarat East 	Ballarat C  
